crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
wheat,25.44,680.46,115.9,75.5,81.9,4.548,84.58,1,0,1.991
rice,39.29,595.58,129.3,81.3,58.9,8.066,70.67,1,0,2.305
cassava,19.94,1471.0,44.8,109.2,111.4,7.455,47.84,1,1,5.475
maize,29.23,725.96,26.6,103.2,116.3,5.831,92.38,0,0,2.218
soybeans,37.74,1285.16,73.4,37.1,29.3,5.862,35.97,1,1,1.172
cotton,17.92,864.43,58.9,96.2,101.8,8.032,87.39,0,0,1.179
maize,12.74,1322.32,37.2,23.1,182.7,9.712,88.14,1,1,1.567
cotton,19.46,1095.35,109.5,135.7,78.6,7.959,65.82,1,1,1.52
wheat,12.62,1154.96,25.1,38.1,83.9,5.545,41.66,0,0,1.177
maize,23.54,315.99,119.7,128.6,98.3,3.992,47.35,1,1,2.494
wheat,39.4,363.3,58.3,58.0,191.1,5.355,54.49,0,1,1.639
rice,11.04,643.41,40.5,118.3,165.1,6.471,66.16,1,1,1.862
wheat,34.71,353.35,129.4,98.4,184.4,7.101,73.4,1,1,1.987
soybeans,38.53,754.13,65.3,96.6,25.7,5.148,93.03,1,0,1.301
wheat,22.82,1103.73,29.6,70.6,135.7,7.007,66.32,1,0,1.704
cotton,19.15,1104.93,77.2,71.8,138.5,8.715,97.65,1,1,1.374
cassava,24.3,1447.52,55.4,8.7,49.9,9.644,15.18,1,0,3.887
rice,20.37,951.19,5.4,31.1,171.2,8.484,44.16,0,1,0.983
rice,34.99,231.38,18.2,83.0,194.3,6.197,42.12,1,1,3.943
rice,18.41,1110.1,33.9,29.0,111.0,5.385,68.09,0,1,1.406
cassava,28.98,1259.31,24.0,135.3,111.1,9.499,31.86,1,0,3.939
soybeans,13.64,304.49,34.6,141.3,84.4,7.393,34.77,1,0,1.64
cassava,31.45,837.78,116.1,43.0,185.7,9.992,93.06,1,1,3.416
cotton,38.47,1414.5,25.3,30.9,37.7,8.628,14.52,0,1,0.829
maize,15.43,1208.78,46.8,107.3,89.0,7.259,85.6,1,1,2.187
rice,20.27,1473.01,88.2,63.3,38.3,9.91,84.59,0,0,1.297
cassava,38.93,1324.6,90.2,57.1,128.6,7.24,47.9,0,0,3.163
cassava,32.02,1172.27,109.9,36.9,43.5,7.335,77.73,0,0,3.225
maize,27.23,1270.65,19.6,116.3,45.3,4.564,28.13,1,1,1.552
cassava,18.03,1338.98,108.1,134.7,17.6,7.58,26.44,1,0,3.254
soybeans,35.79,1413.92,28.2,48.4,53.1,5.832,92.66,1,1,1.566
cassava,26.05,239.14,111.7,104.4,110.5,6.845,21.52,1,1,10.286
maize,23.77,1471.05,69.0,51.0,131.7,5.061,20.52,0,0,1.573
cassava,29.83,1058.6,98.6,100.6,83.6,6.067,35.91,0,1,3.748
rice,34.1,864.72,103.7,97.7,76.1,8.758,39.34,1,1,1.61
cotton,23.8,1001.45,36.5,8.2,33.2,6.361,38.25,1,0,1.223
rice,30.61,1198.26,81.6,132.2,193.4,3.918,48.6,0,0,1.196
rice,17.5,933.82,81.9,56.8,102.2,5.54,26.2,0,0,1.402
maize,37.41,1431.58,45.7,54.6,106.1,9.617,89.36,0,0,1.477
cotton,35.46,427.03,27.3,49.0,95.5,9.03,80.94,1,0,0.852
cassava,22.19,114.98,134.0,138.4,60.9,8.255,63.76,0,0,6.182
rice,31.95,288.86,49.2,42.1,75.0,8.104,45.63,1,0,3.228
rice,30.92,982.07,109.6,136.2,143.4,4.513,34.94,1,0,1.503
soybeans,14.11,1281.15,86.3,31.1,40.4,9.175,77.87,1,0,0.796
cotton,30.92,543.01,9.1,75.8,125.3,3.538,22.22,0,0,0.615
cassava,23.89,294.47,2.6,90.4,189.2,4.191,32.14,0,1,5.388
soybeans,16.93,192.73,137.1,46.4,179.2,3.527,15.81,1,0,0.59
cassava,34.29,641.02,3.7,13.1,176.2,9.744,73.2,0,1,2.501
cotton,34.9,297.81,52.1,89.0,101.5,4.791,26.09,0,1,0.981
cassava,37.29,1022.97,90.4,83.3,14.2,9.557,68.0,1,1,4.626
rice,31.56,900.04,68.9,31.9,97.8,5.098,92.68,0,1,1.7
rice,37.46,435.24,125.4,19.5,136.3,9.395,28.51,1,0,2.858
rice,34.27,1182.06,30.1,105.2,165.0,5.75,28.84,0,0,1.29
wheat,15.51,109.82,86.7,38.6,39.4,9.88,39.1,1,0,1.629
rice,19.86,1094.63,90.1,51.6,156.0,7.717,68.82,1,0,1.441
wheat,33.28,95.36,106.6,136.3,82.9,5.066,33.46,1,0,1.389
cassava,33.96,117.35,22.2,60.7,51.0,5.696,99.84,1,1,9.182
wheat,27.18,111.79,85.4,78.3,161.7,3.688,81.15,1,0,1.311
wheat,29.54,196.15,118.4,95.5,10.8,8.146,88.14,1,0,1.788
cassava,26.39,394.41,95.1,73.8,159.4,9.664,23.96,0,0,5.618
maize,35.93,736.15,135.5,31.0,178.7,8.548,80.3,1,1,2.468
wheat,33.8,758.14,19.9,128.8,72.7,8.043,38.99,1,1,1.829
rice,32.4,1293.76,69.3,23.3,144.2,4.839,51.95,0,1,1.379
cotton,18.54,658.94,53.8,124.3,159.3,7.328,37.65,1,1,1.341
cassava,20.39,812.54,32.5,11.7,119.5,5.683,29.65,0,0,3.596
maize,28.23,405.76,8.1,59.7,51.8,4.927,96.55,1,1,1.826
cassava,21.46,1224.32,81.8,59.7,26.9,9.32,17.05,1,0,4.144
maize,28.17,578.66,30.5,143.3,95.8,7.974,26.09,1,0,2.031
rice,32.27,381.08,8.2,47.0,99.9,4.592,44.51,0,0,2.612
soybeans,15.65,357.37,47.6,49.5,196.3,8.629,76.26,0,1,1.479
soybeans,26.18,800.72,1.2,5.2,24.5,4.16,74.62,0,1,1.45
maize,29.75,1283.34,121.4,104.2,172.4,8.034,72.49,1,1,2.526
cassava,31.3,131.5,88.4,112.1,160.7,8.506,33.46,1,1,12.383
maize,11.25,772.29,96.5,40.3,66.6,7.489,91.22,1,1,2.517
maize,11.91,1255.49,83.9,21.1,23.8,9.413,71.55,1,1,2.174
cotton,37.36,576.64,108.5,110.3,185.3,5.497,54.03,1,1,1.469
soybeans,38.79,1324.54,105.7,135.7,49.0,8.936,73.34,1,1,0.704
soybeans,37.15,862.01,63.1,95.5,195.6,8.665,17.44,0,0,1.304
rice,35.64,422.58,2.9,36.2,16.3,4.172,51.11,0,1,2.115
rice,35.69,212.96,48.7,127.7,45.3,4.009,81.78,1,0,3.478
rice,29.33,91.09,116.0,115.4,56.8,8.106,32.48,0,0,3.042
maize,36.9,334.63,3.2,125.6,120.4,9.289,65.34,1,0,1.237
rice,11.19,916.64,121.8,129.7,94.8,6.485,20.62,1,1,1.383
maize,29.45,149.24,125.6,21.7,70.6,8.802,65.37,0,0,1.92
cotton,30.87,1075.44,50.3,35.8,188.0,6.274,70.22,0,0,1.157
maize,37.91,188.27,63.0,52.2,179.1,4.043,32.16,1,0,1.752
wheat,11.85,168.21,1.3,84.2,130.9,3.828,38.98,1,0,1.088
soybeans,20.01,1488.46,14.4,12.4,176.1,9.527,21.79,0,0,0.961
soybeans,24.7,91.84,9.0,80.3,148.8,4.9,76.08,1,0,1.185
soybeans,14.51,725.65,95.1,121.5,96.8,7.358,36.99,1,1,1.043
soybeans,35.87,312.54,76.2,138.1,130.1,8.81,70.21,1,1,1.484
cassava,13.07,1079.16,50.8,17.0,173.5,5.698,32.77,1,1,4.851
cotton,15.44,715.16,82.3,77.0,171.0,5.004,46.46,1,1,1.256
rice,20.44,730.14,46.8,20.0,34.1,3.717,54.44,1,0,2.014
maize,13.93,1456.24,63.5,38.0,19.7,4.603,58.7,0,1,1.565
cassava,12.69,981.96,21.8,63.0,130.8,8.584,72.91,1,0,3.063
cotton,10.86,1411.78,6.1,91.0,143.7,4.198,18.13,1,0,0.762
soybeans,24.63,108.75,91.9,122.9,149.1,8.895,31.24,1,0,0.972
cotton,28.7,1352.03,23.5,92.7,159.5,5.266,77.7,1,1,1.299
maize,14.93,219.05,76.5,131.3,73.8,8.265,70.64,1,1,2.614
cotton,15.07,1144.17,96.4,23.7,105.4,8.575,32.82,1,0,1.24
wheat,30.62,1318.03,93.1,83.7,147.1,8.381,29.99,0,0,1.195
maize,19.69,1203.02,37.9,66.5,20.7,3.665,96.79,1,1,2.073
wheat,18.19,123.92,52.3,124.8,104.7,9.771,57.31,0,0,1.286
wheat,10.61,1438.25,108.6,25.9,20.3,5.503,67.68,1,0,1.152
soybeans,33.31,382.03,73.7,68.2,120.9,9.202,88.63,1,0,1.249
wheat,31.08,1242.96,115.0,44.8,57.7,6.889,97.23,1,0,1.586
soybeans,18.15,1163.51,119.4,114.0,131.2,6.841,74.95,0,1,0.613
soybeans,37.61,701.25,75.1,108.9,144.2,9.289,75.6,1,0,1.323
maize,32.83,282.1,64.6,6.3,54.3,8.222,99.3,0,0,2.021
soybeans,24.45,630.95,138.1,120.0,92.0,8.227,37.18,0,0,0.67
maize,24.95,161.73,8.2,51.8,162.0,8.1,81.82,1,0,1.54
maize,27.42,1407.11,94.1,72.4,166.9,9.678,15.9,1,0,1.873
maize,22.48,747.95,2.7,41.4,157.1,4.391,60.04,0,0,1.515
soybeans,29.09,1007.0,40.5,24.7,36.3,7.656,89.07,1,0,1.31
maize,32.27,293.33,16.9,14.5,149.8,9.537,51.03,0,1,1.443
maize,12.51,1176.86,78.2,64.4,186.3,4.223,56.37,0,0,1.927
maize,36.78,1235.29,47.9,41.3,80.9,7.337,37.05,1,0,2.218
soybeans,19.44,748.77,135.6,99.1,35.7,4.366,31.57,1,0,0.693
cassava,26.55,1065.69,56.9,81.7,193.5,4.582,39.14,0,1,4.224
rice,26.57,123.24,6.1,105.9,93.9,5.166,30.38,1,0,2.843
rice,18.4,261.72,40.5,48.4,109.4,7.814,46.77,1,0,3.206
maize,16.73,1011.42,103.9,123.8,89.5,5.469,41.98,1,1,2.621
cotton,33.04,771.28,111.4,41.5,29.5,6.264,95.15,1,1,1.354
rice,14.87,755.34,103.4,126.4,130.3,7.849,24.86,1,0,1.86
cotton,31.86,201.05,116.4,100.5,11.5,4.369,68.66,1,1,1.026
cotton,28.32,210.78,95.6,142.8,186.1,9.166,39.99,1,1,1.043
maize,35.51,357.39,92.0,71.1,181.0,4.902,72.29,1,0,2.308
wheat,34.41,1471.55,108.3,78.3,93.5,7.008,53.8,1,0,1.29
wheat,38.82,1333.53,15.2,42.2,171.6,8.858,37.68,1,1,0.94
cotton,35.68,798.23,33.3,32.0,195.8,4.818,83.5,0,1,0.955
wheat,35.1,156.04,80.1,85.6,81.7,6.237,82.81,0,1,1.705
soybeans,32.16,356.72,55.1,14.0,50.3,8.654,83.18,0,0,1.53
soybeans,38.63,408.66,102.4,66.5,64.6,6.463,20.12,1,0,0.836
cotton,31.71,1273.25,65.1,114.9,101.5,6.012,59.24,1,1,1.685
maize,28.31,1088.42,38.2,62.9,29.4,4.677,72.58,0,1,2.01
cassava,24.15,959.64,118.8,37.2,168.5,5.027,72.2,1,0,3.506
cotton,36.65,881.2,84.9,28.7,176.6,9.551,80.65,1,0,1.278
cotton,19.26,1066.01,120.6,33.4,76.3,9.869,98.56,0,0,0.922
cotton,13.27,152.85,60.1,108.8,58.9,7.155,37.96,0,1,0.732
cotton,29.82,68.76,25.2,52.9,51.7,9.757,70.04,0,1,0.691
cotton,21.6,1332.63,119.5,88.8,59.6,6.59,49.11,0,0,1.183
maize,23.36,796.49,50.3,88.0,37.7,6.042,97.37,0,1,2.66
wheat,13.49,122.84,105.6,38.0,9.9,6.082,55.5,0,0,1.607
rice,36.34,899.49,94.4,117.6,136.8,6.087,58.17,1,0,1.721
cassava,37.16,885.47,79.3,41.7,126.5,7.243,48.13,1,1,5.011
wheat,30.02,1390.34,128.6,105.7,14.6,9.17,70.57,0,0,1.21
wheat,33.02,339.49,136.9,133.7,37.6,7.132,61.77,1,1,2.118
cassava,37.97,1473.21,114.1,49.1,85.7,5.075,90.61,1,0,3.515
rice,12.85,532.86,52.3,35.0,122.0,6.379,16.94,0,1,2.573
rice,10.91,1273.53,64.4,35.5,31.8,9.696,20.25,0,0,1.073
cotton,19.74,1277.1,126.8,68.3,6.8,8.651,38.52,0,1,1.251
maize,19.46,620.06,33.2,18.6,40.8,8.684,72.27,1,0,2.025
wheat,22.24,1181.91,85.7,76.9,123.4,4.125,55.08,1,0,1.528
cassava,25.5,608.45,8.0,58.3,185.6,3.636,54.82,1,0,3.601
rice,11.97,846.65,82.7,96.4,56.1,5.87,86.56,0,1,1.723
rice,30.64,1199.06,43.0,10.0,191.6,5.744,23.16,1,1,1.633
wheat,35.23,1189.74,1.9,132.7,60.0,9.272,30.94,1,1,1.132
maize,25.19,969.45,9.9,40.6,77.4,6.571,17.93,0,0,1.81
cassava,35.56,1308.47,94.3,98.0,124.5,4.819,50.83,1,1,4.567
cotton,15.28,1098.23,99.1,33.1,36.7,4.001,92.43,0,0,0.845
soybeans,26.65,1126.56,30.8,56.6,77.8,9.736,52.18,1,1,1.708
wheat,30.43,1427.39,39.8,16.4,170.2,9.99,63.75,0,1,1.099
rice,21.37,543.4,86.9,129.7,104.2,8.861,48.59,0,0,2.41
wheat,28.3,105.2,108.0,20.6,87.1,8.813,73.8,0,0,1.501
maize,35.23,105.72,126.2,69.6,132.4,7.786,90.98,1,1,2.106
rice,24.9,1272.27,62.4,104.2,151.4,4.631,45.06,1,0,1.448
cassava,28.2,319.3,97.3,14.9,61.9,7.844,40.69,0,1,7.875
rice,34.33,97.6,65.5,95.5,171.0,3.82,87.31,1,0,2.81
wheat,30.87,450.75,79.8,105.1,172.5,6.441,78.32,0,0,1.728
rice,36.7,405.18,102.2,118.5,176.8,9.945,39.29,1,0,3.354
rice,31.48,930.62,12.4,99.8,17.8,7.375,77.6,0,1,1.031
soybeans,24.14,1436.58,60.7,115.0,193.4,9.2,31.95,1,0,0.972
cassava,34.41,88.11,63.1,111.2,114.2,7.735,58.43,1,0,9.432
maize,24.31,1091.58,34.6,94.7,138.3,4.558,62.6,1,0,2.087
rice,25.5,1117.23,78.0,135.1,80.6,6.514,21.61,1,0,1.618
cassava,20.62,565.85,117.9,109.5,203.4,7.488,53.84,0,1,3.425
rice,17.12,430.82,70.6,109.2,105.6,3.941,76.23,1,0,3.18
rice,26.13,1492.98,55.9,91.2,78.0,6.053,73.83,1,1,1.581
cassava,14.37,928.88,68.5,18.4,84.1,6.846,85.11,0,0,3.626
wheat,31.75,1040.34,31.8,35.1,138.3,4.711,70.89,1,0,1.309
cotton,19.89,933.57,51.4,99.2,52.4,8.056,43.88,1,1,1.298
cassava,15.78,242.2,56.8,36.8,53.9,9.301,59.65,1,1,9.727
wheat,29.91,1415.83,133.3,97.2,6.1,5.833,58.13,1,1,1.359
cotton,23.98,1329.19,96.4,43.9,94.4,6.288,96.5,0,0,0.954
soybeans,23.21,1075.32,82.3,49.5,115.8,8.25,17.64,0,0,1.006
soybeans,30.05,1089.48,81.4,139.2,9.3,8.301,96.46,1,0,1.036
wheat,22.39,1348.26,50.3,45.2,75.4,4.895,60.84,0,1,1.334
maize,30.76,140.32,71.3,144.5,167.8,7.499,40.34,1,1,2.135
cotton,18.14,58.25,19.2,66.5,34.3,9.361,83.29,0,0,0.627
soybeans,38.35,1402.99,31.6,91.0,10.6,9.557,58.98,0,0,1.053
wheat,29.34,1139.84,45.8,87.1,82.9,8.157,28.16,0,0,1.346
soybeans,36.29,1272.64,133.3,115.6,136.9,9.068,20.51,1,1,0.606
soybeans,35.99,1341.11,37.8,9.9,57.2,5.312,92.2,1,0,1.513
cotton,21.02,1298.15,88.7,35.1,72.2,9.008,47.24,1,1,1.244
cassava,11.61,672.42,110.3,105.1,177.2,3.562,97.11,0,1,2.882
maize,36.95,629.3,45.8,6.5,170.3,8.706,22.98,1,0,2.301
cotton,10.43,80.25,85.7,8.1,203.7,4.692,75.12,0,1,0.777
rice,28.86,852.91,138.1,107.5,160.4,9.171,32.55,0,0,1.392
soybeans,20.69,589.89,44.6,92.0,37.9,8.999,83.87,1,1,1.885
maize,35.35,1204.09,24.5,99.2,49.1,4.918,89.17,0,0,1.415
cotton,21.77,1350.33,33.8,103.8,65.5,3.792,61.88,1,0,1.088
wheat,14.49,655.25,47.0,54.1,23.3,4.539,27.92,0,1,1.997
rice,19.5,424.33,5.3,86.6,51.0,4.463,70.23,1,1,2.934
cassava,15.74,647.29,23.8,8.1,47.4,6.986,55.41,1,0,3.327
cotton,28.36,1018.56,33.1,67.3,131.7,7.638,82.1,0,1,1.317
maize,26.39,412.13,48.1,124.3,116.8,6.846,22.56,0,1,2.544
cassava,38.67,1394.25,36.7,37.5,64.5,6.369,41.02,0,1,4.42
maize,20.57,1270.1,66.0,142.1,131.8,4.321,72.15,0,1,1.918
cotton,30.37,1339.61,94.4,120.9,113.7,3.948,22.64,1,0,1.218
rice,16.3,218.68,135.8,8.1,165.5,8.622,39.56,0,0,2.376
maize,12.13,166.26,49.7,136.8,138.7,7.911,45.13,1,0,1.659
maize,34.93,223.84,102.9,79.4,62.6,6.703,39.8,1,0,1.937
rice,10.51,1442.53,6.2,25.0,7.8,7.185,94.17,1,1,1.175
wheat,37.2,158.51,7.0,22.8,28.3,4.071,70.88,1,1,1.288
cotton,30.24,725.67,84.8,18.2,181.8,7.035,17.45,1,0,1.438
cotton,34.14,727.98,117.9,52.9,196.5,4.862,17.29,1,1,1.437
rice,19.87,617.61,36.7,53.0,87.1,8.183,57.99,1,0,1.948
maize,27.35,1055.46,98.1,110.5,179.6,6.75,76.8,1,0,2.668
cassava,37.49,351.13,75.5,43.9,103.7,6.338,37.14,1,0,8.69
cassava,28.82,50.37,106.8,109.6,106.9,9.369,92.13,1,1,8.799
rice,33.14,106.28,27.2,80.1,192.0,8.927,86.46,0,0,2.121
soybeans,11.87,100.98,23.6,106.9,41.7,6.825,22.02,1,0,1.393
cotton,17.95,607.43,2.4,58.6,166.8,7.028,14.84,1,0,0.794
rice,15.74,799.82,127.1,117.6,18.2,8.002,63.18,1,0,1.759
maize,11.91,500.92,45.5,107.1,132.5,9.267,54.61,0,1,2.067
wheat,13.38,728.97,23.7,10.8,72.7,4.48,68.48,1,0,1.484
soybeans,33.24,539.13,88.6,12.0,126.7,4.492,85.43,0,0,0.888
cotton,36.44,240.6,111.6,21.7,86.6,5.605,64.36,0,1,1.048
maize,38.64,269.58,66.8,89.3,121.3,6.11,43.08,0,0,1.948
rice,19.6,661.57,32.2,32.9,12.6,7.682,36.58,0,0,1.829
rice,13.78,1359.49,121.0,70.0,153.9,7.526,83.06,1,1,1.553
soybeans,10.92,1099.51,126.8,116.4,121.8,7.863,99.16,0,1,0.552
maize,24.54,290.37,132.4,124.0,138.8,6.505,49.41,1,1,2.501
maize,37.06,1219.71,137.9,110.6,83.6,7.339,70.85,0,1,1.843
maize,27.47,588.2,84.2,103.8,142.7,5.935,28.35,1,0,2.716
wheat,17.41,891.34,100.9,51.4,125.6,8.862,22.1,1,0,1.952
wheat,25.3,1440.89,137.0,79.4,108.0,5.356,99.75,0,0,1.175
maize,20.83,182.79,128.4,24.2,195.0,6.399,29.92,1,1,2.67
cassava,35.34,425.0,45.6,38.1,186.7,6.767,70.43,1,1,8.013
wheat,18.41,672.47,24.8,140.0,26.5,9.906,86.4,1,1,1.771
cassava,39.61,488.26,4.3,28.2,84.0,5.556,22.35,1,0,4.455
rice,31.08,1436.17,74.4,61.0,195.7,7.674,39.64,0,1,1.629
cassava,29.84,931.7,15.1,96.8,189.8,4.547,65.35,0,0,2.858
wheat,34.61,936.83,52.2,10.7,51.5,9.279,84.35,1,0,1.682
wheat,37.24,390.19,75.8,80.3,179.8,3.828,50.5,0,0,1.356
wheat,17.48,1472.71,25.1,133.0,69.9,8.46,53.25,1,0,1.166
soybeans,31.2,1152.73,73.2,134.4,170.0,8.985,71.88,0,0,1.009
soybeans,20.42,1400.47,20.5,93.5,123.6,4.285,42.03,1,0,1.261
maize,21.53,1035.49,30.6,138.0,162.3,4.081,49.91,1,1,2.535
cotton,22.31,1384.41,123.2,72.7,76.9,5.616,37.01,1,1,1.176
rice,19.04,411.02,52.1,40.7,102.8,6.148,98.84,0,0,2.805
cassava,19.89,139.97,66.6,42.8,148.0,9.721,73.42,1,0,9.973
soybeans,22.66,1384.57,123.1,69.0,87.2,7.108,34.94,0,1,0.523
rice,26.0,914.77,51.2,118.0,109.7,4.259,25.1,1,1,1.563
rice,38.02,316.19,35.4,61.9,81.6,8.665,53.24,0,0,2.349
maize,17.73,136.31,84.5,101.1,27.9,5.995,53.24,0,0,2.118
cassava,20.47,285.77,32.2,15.7,189.0,6.948,48.12,1,1,9.674
soybeans,28.05,929.16,51.1,131.6,105.6,6.521,99.79,1,0,1.898
cassava,22.95,979.29,132.3,20.7,95.4,4.751,90.89,1,0,3.51
rice,31.95,1078.31,28.0,34.5,142.7,4.928,51.73,1,1,1.54
cassava,13.53,528.92,101.5,90.7,29.0,4.562,69.1,1,0,3.969
wheat,22.31,821.38,109.2,96.5,90.3,9.834,23.27,0,0,1.75
cotton,39.91,1179.62,85.8,16.1,150.3,8.106,80.7,0,1,1.361
wheat,34.48,368.57,102.0,54.7,138.4,4.293,74.68,1,0,1.57
maize,31.19,551.09,1.0,61.5,52.0,8.823,43.01,1,0,1.686
wheat,21.81,1412.69,55.4,74.5,54.1,3.501,91.34,0,1,1.139
soybeans,23.24,145.16,56.2,112.1,188.0,6.188,50.43,1,1,1.83
soybeans,22.22,1498.32,81.1,10.9,122.4,5.285,16.79,1,0,0.911
wheat,12.71,1458.46,88.5,143.0,72.8,9.813,26.52,0,0,0.99
cassava,39.42,1216.61,120.4,55.3,70.0,6.861,17.93,1,0,3.655
soybeans,36.14,1249.85,50.4,89.0,36.3,6.981,33.82,1,1,1.562
maize,29.59,1410.54,122.0,112.2,162.7,7.822,36.38,1,1,2.16
maize,13.6,539.54,132.0,50.2,108.8,8.07,45.27,1,1,2.642
wheat,36.32,527.51,116.1,58.0,55.6,9.426,21.93,1,0,1.837
maize,23.28,120.13,114.9,120.7,122.6,5.795,82.78,1,1,2.683
cassava,21.55,55.15,85.9,9.2,105.8,8.728,61.29,0,1,8.876
cassava,19.17,642.21,42.2,16.2,192.9,7.066,81.75,1,1,4.407
wheat,22.13,1296.41,127.3,131.6,171.2,6.143,27.67,0,1,1.539
cotton,25.48,784.81,105.6,31.5,194.3,5.728,39.82,1,1,1.328
rice,23.26,534.45,73.1,87.0,6.7,8.447,75.32,0,0,2.45
soybeans,29.64,112.93,9.3,82.3,26.0,3.645,28.75,1,1,1.371
cassava,31.67,240.22,82.9,99.1,12.4,9.06,91.94,1,1,11.344
rice,21.05,1469.6,58.9,75.3,187.0,8.162,64.06,1,1,1.562
rice,20.85,207.18,122.6,114.6,38.6,6.83,55.91,1,1,4.59
wheat,34.1,940.97,61.4,8.6,70.4,6.234,55.78,1,0,1.451
wheat,23.9,1084.2,51.7,81.7,65.7,5.799,66.79,1,1,2.128
cotton,23.0,1137.38,64.2,27.9,55.4,5.889,19.98,1,1,1.465
wheat,33.96,837.61,123.5,141.1,34.5,6.066,71.19,0,0,1.797
rice,17.76,508.86,12.2,47.5,198.3,9.641,42.8,1,1,2.181
wheat,10.67,1258.64,7.8,33.8,113.9,4.659,85.71,1,1,1.215
rice,26.29,237.6,52.6,18.9,129.6,6.405,80.91,0,0,3.28
wheat,17.86,998.51,97.9,53.3,100.0,6.124,95.47,0,0,1.614
soybeans,18.24,445.97,42.4,90.7,92.7,8.224,90.96,1,0,1.832
cassava,24.78,1356.51,122.8,11.6,65.7,6.382,28.81,1,0,3.908
soybeans,10.68,1399.98,96.1,9.8,168.8,4.802,63.81,1,0,0.671
cassava,23.18,1190.86,129.3,88.9,42.4,8.584,96.2,1,1,3.422
wheat,28.02,1002.91,58.7,71.5,183.2,7.694,56.74,0,0,1.596
rice,10.69,590.86,20.8,83.2,188.5,6.045,86.67,0,0,1.529
soybeans,24.28,1490.97,102.0,138.3,172.0,9.369,84.04,1,0,0.649
wheat,20.67,62.17,102.8,145.0,86.2,9.906,26.19,0,0,1.504
maize,37.87,611.62,9.3,7.7,170.4,6.911,80.67,0,0,1.761
rice,21.02,836.33,20.7,109.5,6.7,4.596,63.95,1,1,1.641
cassava,20.9,1295.66,65.5,34.9,191.9,8.678,18.79,1,1,4.295
cassava,16.45,218.87,123.2,66.6,130.0,6.688,89.04,1,0,8.535
maize,11.74,211.69,72.2,42.5,172.1,3.596,46.6,0,0,1.382
wheat,15.28,724.07,90.7,90.2,19.1,3.922,97.01,0,0,1.949
wheat,26.15,970.29,134.0,96.3,181.7,7.116,67.92,0,0,1.383
wheat,38.48,1479.62,32.9,98.8,173.3,5.019,30.14,0,0,0.832
cotton,31.02,896.19,11.5,95.0,142.4,5.91,89.32,1,0,1.096
soybeans,39.14,220.9,134.2,17.7,51.2,3.803,74.64,1,0,0.604
cotton,24.33,636.8,130.5,10.8,141.7,9.032,96.49,0,1,1.113
rice,32.7,1017.01,32.8,87.3,119.1,6.648,61.3,1,1,1.365
wheat,22.76,1172.39,114.9,39.2,137.4,4.118,16.0,1,0,1.606
rice,14.5,879.15,35.5,36.9,7.3,4.347,40.6,0,1,1.199
wheat,14.58,328.55,14.9,48.4,115.5,9.922,82.23,0,1,1.575
cotton,35.56,1199.2,62.0,106.4,118.7,5.715,76.43,1,1,1.338
maize,26.33,1464.88,51.7,55.0,73.8,6.884,51.9,1,1,1.929
maize,21.75,1213.48,47.8,67.2,140.1,6.808,88.08,1,0,2.099
cotton,14.1,542.28,132.0,75.4,198.5,4.078,55.07,0,1,0.942
wheat,15.62,570.37,5.0,44.6,135.4,7.711,20.33,0,1,1.482
maize,17.98,1485.98,3.6,89.5,136.9,7.972,24.35,1,0,1.362
cassava,37.12,317.91,95.4,134.5,112.7,9.197,24.74,1,0,7.554
cassava,25.36,1254.6,59.8,64.1,55.7,8.819,98.78,0,0,3.82
cotton,35.77,486.49,131.7,44.3,190.4,9.765,26.51,1,0,1.028
cassava,34.84,975.86,125.8,93.2,153.2,8.937,18.71,1,1,3.849
rice,22.67,627.23,3.7,52.0,200.2,9.178,42.33,1,1,2.19
cotton,13.1,455.61,75.3,102.8,131.1,9.621,82.42,1,0,1.143
rice,20.03,87.33,47.7,117.5,184.5,6.868,53.17,0,1,2.454
wheat,18.31,733.27,94.7,135.0,33.3,6.077,19.76,1,0,2.398
soybeans,38.8,804.13,56.1,78.0,160.8,5.711,29.37,1,1,1.565
rice,14.93,229.02,137.2,60.1,50.5,4.614,71.41,1,1,3.91
cotton,34.26,325.97,122.0,111.1,149.5,4.064,15.86,1,1,0.964
soybeans,11.2,1261.07,29.4,51.0,179.0,8.351,32.84,0,1,1.365
cotton,21.74,1444.59,107.0,49.8,195.3,7.697,53.17,1,0,1.197
cotton,29.25,1150.44,114.8,134.2,91.2,9.901,32.55,1,1,1.261
wheat,36.97,427.32,88.0,10.9,82.3,5.404,33.66,1,0,1.972
soybeans,23.6,1103.34,13.4,60.4,201.6,8.755,27.75,0,0,1.199
rice,23.78,129.9,59.8,70.7,190.7,7.667,40.8,1,0,3.449
cotton,38.69,1307.56,101.9,15.6,14.8,8.944,56.11,1,0,1.443
soybeans,34.11,851.81,68.4,21.0,21.8,5.707,40.73,1,1,1.487
cassava,30.6,1492.68,65.4,106.3,104.0,6.308,49.29,1,0,4.8
cassava,37.45,1100.08,114.2,127.1,199.5,8.461,66.32,0,0,2.978
soybeans,10.74,1029.22,130.5,38.2,143.7,9.838,96.76,0,0,0.458
cotton,26.6,531.41,34.1,119.1,26.3,6.668,68.56,0,1,1.146
wheat,20.21,510.77,36.6,53.0,108.0,9.057,77.81,1,1,2.147
soybeans,34.26,1347.27,1.6,140.2,99.7,8.688,24.94,0,0,0.848
